timestamp,message,logStreamName
1722843264270,"REPORT RequestId: 19552fb2-e1b7-4399-adb0-15c40914a3da	Duration: 2.69 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843324148,"START RequestId: 2b68eedb-d47b-47d6-bc75-8600c5bf3996 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843324153,"END RequestId: 2b68eedb-d47b-47d6-bc75-8600c5bf3996
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843324153,"REPORT RequestId: 2b68eedb-d47b-47d6-bc75-8600c5bf3996	Duration: 4.38 ms	Billed Duration: 5 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843384223,"START RequestId: 808e3897-878a-4911-8c5e-1031cfbc813b Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843384225,"END RequestId: 808e3897-878a-4911-8c5e-1031cfbc813b
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843384225,"REPORT RequestId: 808e3897-878a-4911-8c5e-1031cfbc813b	Duration: 2.59 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843444249,"START RequestId: a9cb4d59-f685-4bfc-b914-05ef17a61d4f Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843444252,"END RequestId: a9cb4d59-f685-4bfc-b914-05ef17a61d4f
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843444252,"REPORT RequestId: a9cb4d59-f685-4bfc-b914-05ef17a61d4f	Duration: 2.89 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843504528,"START RequestId: 895e4351-4f32-4c72-86c2-ad28c0e273b2 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843504531,"END RequestId: 895e4351-4f32-4c72-86c2-ad28c0e273b2
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843504531,"REPORT RequestId: 895e4351-4f32-4c72-86c2-ad28c0e273b2	Duration: 2.82 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843564254,"START RequestId: 95b74b8a-8f5a-4ce7-acfe-71497279ace6 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843564256,"END RequestId: 95b74b8a-8f5a-4ce7-acfe-71497279ace6
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843564256,"REPORT RequestId: 95b74b8a-8f5a-4ce7-acfe-71497279ace6	Duration: 2.78 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843624347,"START RequestId: aa9efe68-7479-4fe3-bb52-2b05b29f9546 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843624350,"END RequestId: aa9efe68-7479-4fe3-bb52-2b05b29f9546
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843624350,"REPORT RequestId: aa9efe68-7479-4fe3-bb52-2b05b29f9546	Duration: 2.80 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843684311,"START RequestId: ad33275a-b756-4b61-80a1-71b0a74e4b22 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843684314,"END RequestId: ad33275a-b756-4b61-80a1-71b0a74e4b22
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843684314,"REPORT RequestId: ad33275a-b756-4b61-80a1-71b0a74e4b22	Duration: 3.13 ms	Billed Duration: 4 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843744279,"START RequestId: 4fa5fdb5-8108-42ea-9015-46f28ea3a357 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843744282,"END RequestId: 4fa5fdb5-8108-42ea-9015-46f28ea3a357
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843744282,"REPORT RequestId: 4fa5fdb5-8108-42ea-9015-46f28ea3a357	Duration: 2.78 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843804210,"START RequestId: b5513130-1ceb-4e7f-803b-82072bc02da2 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843804213,"END RequestId: b5513130-1ceb-4e7f-803b-82072bc02da2
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
